Entity Name,Category,Market Rank / Focus,Validated Target URL,Ingestion Tech,Signal Value,Selector
Generali UK,Insurer,Top 50 (Comm),https://www.generali.co.uk/Media.html,Dynamic JS,Medium - Employee Benefits,a.news-link
SCOR,Insurer,Reinsurer,https://www.scor.com/en/press-releases-and-news,Dynamic JS,Critical - Reinsurance Cap,a.news-item-link
Swiss Re,Insurer,Reinsurer,https://www.swissre.com/media/news-releases.html,Dynamic JS,Critical - Catastrophe Models,a.news-link
Munich Re,Insurer,Reinsurer,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news.html,Dynamic JS,Critical - Climate Risk,a.teaser-link
Lloyd's of London,Market Body,Market,https://www.lloyds.com/insights/media-centre/press-releases,Dynamic JS,Critical - Systemic Risk,a.search-result-link
Saga PLC,Insurer,Niche (Age),https://corporate.saga.co.uk/news/regulatory-news/,Dynamic JS,High - Over 50s Trends,a.news-link
Domestic & General,Insurer,Niche (Warranty),https://www.domesticandgeneral.com/about-us/media-centre,Dynamic JS,High - Appliance Repairs,a.news-link
First Central,Insurer,Broker/MGA,https://www.1stcentralintermediaries.com/news/,Dynamic JS,Medium - Broker News,a.news-link
Markerstudy,Insurer,MGA,https://www.markerstudy.com/news,Dynamic JS,High - Capacity/M&A,a.news-link
Tesco Bank,Insurer,Retail,https://www.tescobank.com/corporate/media/press-releases/,Dynamic JS,Medium - Mass Market,a.news-link
Sainsbury's Bank,Insurer,Retail,https://www.sainsburysbank.co.uk/about-us/media-centre/press-releases,Dynamic JS,Medium - Mass Market,a.news-link
Co-op Insurance,Insurer,Retail,https://www.co-operative.coop/media/news-releases,Dynamic JS,Medium - Ethical/Community,a.news-link
Aegon UK,Insurer,Life,https://www.aegon.co.uk/media-centre/news.press-releases-b2b-media,Dynamic JS,Low - Platform News,a.news-link
Marsh UK,Broker,Top 5,https://www.marsh.com/en-gb/about/media/press-releases.html,Dynamic JS,Critical - Global Rates,a.card-link
Aon UK,Broker,Top 5,https://aon.mediaroom.com/news-releases?t=1&l=en-GB,Dynamic JS,Critical - Reinsurance,a.item-link
Gallagher UK,Broker,Top 5,https://www.ajg.com/uk/news-and-insights/,Dynamic JS,Critical - Regional UK,a.card-link
Howden Group,Broker,Top 5,https://www.howdengroup.com/uk-en/news-insights,Dynamic JS,Critical - Cyber/M&A,a.card-link
WTW (Willis),Broker,Top 5,https://www.wtwco.com/en-gb/news/list,Dynamic JS,Critical - Actuarial,a.card-link
Ardonagh Group,Broker,Top 10,https://www.ardonagh.com/media-centre/press-releases/,Dynamic JS,Medium - Consolidator,h3.post-title a
Towergate,Broker,Top 10,https://www.towergate.com/news,Dynamic JS,High - Care/SME,a.news-link
Lockton UK,Broker,Top 10,https://global.lockton.com/gb/en/news-insights,Dynamic JS,High - PI/Real Estate,a.card-link
PIB Group,Broker,Top 20,https://www.pibgroup.co.uk/news,Dynamic JS,Low - M&A,a.news-link
BMS Group,Broker,Top 20,https://www.bmsgroup.com/news,Dynamic JS,Medium - Specialty,a.news-link
Miller Insurance,Broker,Top 20,https://www.miller-insurance.com/News-and-Insights,Dynamic JS,High - Marine/Energy,a.card-link
Tysers,Broker,Top 20,https://www.tysers.com/news-insights/,Dynamic JS,High - Entertainment,h3.post-title a
Griffiths & Armour,Broker,Specialist,https://www.griffithsandarmour.com/news/,Dynamic JS,Critical - Prof Indemnity,h3.entry-title a
Aston Lark,Broker,Top 20,https://www.astonlark.com/news-and-views/,Dynamic JS,High - HNW,h3.post-title a
Clear Group,Broker,Top 50,https://www.thecleargroup.com/news,Dynamic JS,Medium - SME,h3.news-title a
Partners&,Broker,Top 50,https://www.partnersand.com/insights/,Dynamic JS,Medium - Advisory,h3.post-title a
Specialist Risk Group,Broker,Top 50,https://specialistriskgroup.com/news/,Dynamic JS,High - Niche Risks,a.news-link
GRP (Brown & Brown),Broker,Top 20,https://www.grpgroup.co.uk/news/,Dynamic JS,Low - M&A,a.news-link
Brown & Brown EU,Broker,Top 20,https://www.bbrown.com/uk/news-events/,Dynamic JS,Medium - Corporate,h2.entry-title a
Simply Business,Broker,Digital,https://www.simplybusiness.co.uk/knowledge/,Dynamic JS,Critical - Micro-SME,h3.card__title a
McGill and Partners,Broker,Boutique,https://www.mcgillpartners.com/insights/,Dynamic JS,Critical - Aviation/Complex,a.insight-card__link
Adrian Flux,Broker,Specialist,https://www.adrianflux.co.uk/blog/,Dynamic JS,Critical - Non-Standard Motor,h2.entry-title a
BPL Global,Broker,Specialist,https://www.bpl-global.com/news-and-views/,Dynamic JS,High - Trade Credit,h3.entry-title a
Hamilton Fraser,Broker,Specialist,https://www.hamiltonfraser.co.uk/knowledge/news,Dynamic JS,High - Landlord/Medical,a.card-link
James Hallam,Broker,Top 50,https://jameshallam.co.uk/news/,Dynamic JS,Medium - Hospitality,h2.eut-post-title a
Lycetts,Broker,Specialist,https://www.lycetts.co.uk/insights/,Dynamic JS,High - Farm/Estates,a.button--primary
Romero Insurance,Broker,Top 50,https://romeroinsurance.co.uk/news/,Dynamic JS,Medium - Construction,h2.elementor-heading-title a
